2026-01-05 19:03:33 - INFO | Discovered sample: [DICOM] /tmp/tmp079b90x9/home/rflaherty/test_dicoms/20241022/91_0008_gremt-cs4-f100-fa10-1iso-ellip83-rr/008-greMT_cs4_f100_FA10_1iso_ellip83_RR/original-primary-m-none_e09_0001.dcm
2026-01-05 19:03:33 - VERBOSE | Executing plugin: events2bids -> /tmp/tmp079b90x9/home/rflaherty/test_dicoms/20241022/91_0008_gremt-cs4-f100-fa10-1iso-ellip83-rr
2026-01-05 19:03:33 - INFO | Mapping: /home/rflaherty/test_dicoms/20241022/91_0009_gremt-cs4-f100-fa25-1iso-ellip83-rr (subject 1/2)
2026-01-05 19:03:33 - INFO | Detected a flat data-structure in: /home/rflaherty/test_dicoms/20241022/91_0009_gremt-cs4-f100-fa25-1iso-ellip83-rr
2026-01-05 19:03:33 - INFO | Making temporary copy: /home/rflaherty/test_dicoms/20241022/91_0009_gremt-cs4-f100-fa25-1iso-ellip83-rr -> /tmp/tmpggxd9d8j/home/rflaherty/test_dicoms/20241022/91_0009_gremt-cs4-f100-fa25-1iso-ellip83-rr
2026-01-05 19:03:33 - INFO | >> Sorting: /tmp/tmpggxd9d8j/home/rflaherty/test_dicoms/20241022/91_0009_gremt-cs4-f100-fa25-1iso-ellip83-rr (3 files)
2026-01-05 19:03:33 - VERBOSE | [0%]   Creating:  /tmp/tmpggxd9d8j/home/rflaherty/test_dicoms/20241022/91_0009_gremt-cs4-f100-fa25-1iso-ellip83-rr/009-greMT_cs4_f100_FA25_1iso_ellip83_RR
2026-01-05 19:03:33 - VERBOSE | Executing plugin: dcm2niix2bids -> /tmp/tmpggxd9d8j/home/rflaherty/test_dicoms/20241022/91_0009_gremt-cs4-f100-fa25-1iso-ellip83-rr
2026-01-05 19:03:34 - INFO | Discovered sample: [DICOM] /tmp/tmpggxd9d8j/home/rflaherty/test_dicoms/20241022/91_0009_gremt-cs4-f100-fa25-1iso-ellip83-rr/009-greMT_cs4_f100_FA25_1iso_ellip83_RR/original-primary-m-none_e09_0001.dcm
2026-01-05 19:03:34 - VERBOSE | Executing plugin: events2bids -> /tmp/tmpggxd9d8j/home/rflaherty/test_dicoms/20241022/91_0009_gremt-cs4-f100-fa25-1iso-ellip83-rr
2026-01-05 19:03:34 - INFO | Mapping: /home/rflaherty/test_dicoms/20241022/91_0010_gremt-cs6-f4-fa10-1iso-ellip79-rr (subject 1/2)
2026-01-05 19:03:34 - INFO | Detected a flat data-structure in: /home/rflaherty/test_dicoms/20241022/91_0010_gremt-cs6-f4-fa10-1iso-ellip79-rr
2026-01-05 19:03:34 - INFO | Making temporary copy: /home/rflaherty/test_dicoms/20241022/91_0010_gremt-cs6-f4-fa10-1iso-ellip79-rr -> /tmp/tmpxqsj1sxp/home/rflaherty/test_dicoms/20241022/91_0010_gremt-cs6-f4-fa10-1iso-ellip79-rr
2026-01-05 19:03:34 - INFO | >> Sorting: /tmp/tmpxqsj1sxp/home/rflaherty/test_dicoms/20241022/91_0010_gremt-cs6-f4-fa10-1iso-ellip79-rr (3 files)
2026-01-05 19:03:34 - VERBOSE | [0%]   Creating:  /tmp/tmpxqsj1sxp/home/rflaherty/test_dicoms/20241022/91_0010_gremt-cs6-f4-fa10-1iso-ellip79-rr/010-greMT_cs6_f4_FA10_1iso_ellip79_RR
2026-01-05 19:03:34 - VERBOSE | Executing plugin: dcm2niix2bids -> /tmp/tmpxqsj1sxp/home/rflaherty/test_dicoms/20241022/91_0010_gremt-cs6-f4-fa10-1iso-ellip79-rr
